step,time_min,time_h,load_multiplier,pv_multiplier,pv_generation_kw,v_min,v_max,v_mean,v_min_bus,v_max_bus,violating_buses_count,overvoltage_buses_count,undervoltage_buses_count,losses_kw,control_mode,total_q_dispatch_kvar,total_p_curtailment_kw,ders_controlled,optimization_status,sensitivity_cache_hit
128,640,10.666666666666666,0.9266666666666667,0.9766666666666666,1259.8999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
129,645,10.75,0.925,0.98,1264.2,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
130,650,10.833333333333334,0.9233333333333333,0.9833333333333334,1268.5,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
131,655,10.916666666666666,0.9216666666666667,0.9866666666666666,1272.8,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
132,660,11.0,0.92,0.99,1277.1,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
133,665,11.083333333333334,0.9183333333333333,0.9916666666666667,1279.25,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
134,670,11.166666666666666,0.9166666666666667,0.9933333333333333,1281.3999999999999,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
135,675,11.25,0.915,0.995,1283.55,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
136,680,11.333333333333334,0.9133333333333333,0.9966666666666667,1285.7,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
137,685,11.416666666666666,0.9116666666666667,0.9983333333333333,1287.85,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
138,690,11.5,0.91,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
139,695,11.583333333333334,0.9083333333333333,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
140,700,11.666666666666666,0.9066666666666667,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
141,705,11.75,0.905,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
142,710,11.833333333333334,0.9033333333333333,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
143,715,11.916666666666666,0.9016666666666667,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
144,720,12.0,0.9,1.0,1290.0,0.4804148442027208,1.0498228251619157,0.9272701366641072,611,rg60,3,0,3,112.40524721615,optimization,0,0,0,optimal,True
